('hosup_res/problems/sh-no-bools/FFT/prob_127__3226258_1', 'THM')
('hosup_res/problems/sh-no-bools/FFT/prob_128__3226276_1', 'THM')
('hosup_res/problems/sh-no-bools/FFT/prob_129__3226308_1', 'THM')
('hosup_res/problems/sh-no-bools/FFT/prob_136__3226406_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_139__3226458_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_142__3226492_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_143__3226510_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_149__3226568_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_151__3226648_1', 'THM')
('hosup_res/problems/sh-no-bools/FFT/prob_156__3226686_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_161__3226694_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_162__3226740_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_163__3226746_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_165__3226766_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_168__3226786_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_170__3226800_1', 'THM')
('hosup_res/problems/sh-no-bools/FFT/prob_177__3226870_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_179__3226940_1', 'THM')
('hosup_res/problems/sh-no-bools/FFT/prob_184__3226978_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_189__3226986_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_190__3227032_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_191__3227038_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_192__3227044_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_194__3227064_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_197__3227084_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_199__3227098_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_205__3227178_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_209__3227224_1', 'THM')
('hosup_res/problems/sh-no-bools/FFT/prob_213__3227270_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_217__3227322_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_224__3227372_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_226__3227382_1', 'THM')
('hosup_res/problems/sh-no-bools/FFT/prob_228__3227398_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_236__3227482_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_257__3227780_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_265__3227834_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_270__3227884_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_276__3228000_1', 'TO')
